timestamp_ms,ax,ay,az,acc_mag,acc_change,gx,gy,gz,gyro_mag,gyro_change,hr_synth,ppg_noisy,ppg_clean,ppg_filtered,label,motion_score
1763975462245,0.006,0.057,0.995,0.996649386695241,0.0,1.471,-0.272,1.686,2.2539789262546353,0.0,71.76,1.422979512866215,0.9778908009445402,1.422979512866215,artifact_heavy,11.2699
1763975462249,-0.002,0.003,1.006,1.0060064612118553,0.009357074516614383,0.524,1.912,-2.97,3.5708850443552507,1.3169061181006154,71.99,1.0335366691793686,0.9908776977923102,2.9073467783440776,artifact_heavy,31.9592
1763975462250,0.014,0.004,0.962,0.9621101808005151,0.043896280411340194,-2.056,0.95,1.946,2.986059610925408,0.5848254334298426,72.55,1.4559305964627516,1.0004822747574247,1.5629546470423694,artifact_heavy,25.1682
1763975462517,0.004,0.019,0.971,0.9711941103610544,0.009083929560539272,0.738,-1.753,2.205,2.9119886675603666,0.0740709433650415,71.86,0.725585464681614,0.4704649206829516,-6.753626452243991,artifact_heavy,16.209
1763975462519,-0.001,0.031,1.002,1.0024799249860317,0.03128581462497726,-1.568,0.522,2.801,3.2521852653254553,0.3401965977650887,71.24,0.5039232614454392,0.44067258998572684,-2.1655898669306772,artifact_heavy,22.7915
1763975462520,0.004,0.054,0.993,0.9944752385052129,0.008004686480818757,-1.033,1.469,-0.253,1.8135763011243833,1.438608964201072,72.11,0.33177114334703905,0.4106034580354188,0.9470740417451804,artifact_heavy,24.2544
1763975462522,0.004,0.009,0.971,0.9710499472220777,0.023425291283135197,-0.59,1.805,0.175,1.9070264812005102,0.09345018007612693,71.54,0.6754656516313996,0.3809115181820411,0.5971183709186337,artifact_heavy,12.8122
1763975462610,0.017,0.043,0.981,0.9820890998275055,0.01103915260542776,0.127,1.423,0.052,1.4296020425279197,0.47742443867259055,71.74,0.31546267535649675,0.13407469198477776,-0.9352690679854515,artifact_light,13.0262
1763975462613,0.001,0.012,0.967,0.9670749712405962,0.015014128586909314,-0.193,-0.058,0.205,0.28746825911741974,1.1421337834104999,71.49,0.4629253460236926,0.1108836796272253,0.19698594722975682,artifact_heavy,14.3601
1763975462614,0.015,0.048,0.989,0.9902777388187619,0.02320276757816575,-0.377,2.66,1.518,3.085782396735065,2.7983141376176452,72.54,0.5751285472887119,0.0888356471859595,-1.0924091198235577,artifact_heavy,45.7323
1763975462616,0.001,0.054,1.001,1.0024559840711211,0.012178245252359221,1.898,-0.501,-0.283,1.9833038093040611,1.1024785874310037,72.26,0.6216976534018309,0.06855792805467442,0.6933408302138427,artifact_heavy,22.1591
1763975462619,0.018,0.053,0.965,0.9666219529888611,0.03583403108226002,-0.056,0.37,-1.306,1.3585551148186812,0.62474869448538,73.77,0.6966165694675807,0.049805055644909085,0.8752647778666356,artifact_heavy,16.6237
1763975462620,0.007,0.008,0.958,0.9580589752202106,0.00856297776865056,1.837,1.912,0.495,2.6972834482122936,1.3387283333936124,72.28,0.5894312187421469,0.033549040596891774,-0.430245436633236,artifact_heavy,27.73
1763975462621,0.006,0.042,1.011,1.0118898161361245,0.05383084091591395,-0.377,-2.501,-1.627,3.0073674534383055,0.31008400522601187,72.17,0.19554115092384972,0.019616393331303925,-0.9358842335151812,artifact_heavy,23.5208
1763975462656,0.001,-0.001,0.986,0.9860010141982614,0.025888801937863137,-0.621,1.255,-0.589,1.519074389225228,1.4882930642130774,72.98,0.3915957853302087,-0.008493769044540016,0.6964387042905884,artifact_heavy,25.0672
1763975462660,0.015,0.039,1.004,1.0048691457100274,0.01886813151176603,-0.713,0.889,-0.955,1.4868473358082195,0.0322270534170086,71.55,0.17776212928992685,-0.009499447122261584,-0.9107902388915733,artifact_light,9.6433
